,StudieID,SubjectName,SubjectDescription,CoordinatorID
0,26,Focused uniform matrix,"['Herb zaraz stanowisko zamiar odpowiedni. Pan para gorący szkolny bogini łóżko. Piwo sprzedaż wziąć Żyd wybór moralny produkt.', 'Zamknąć bogaty rzeka gaz słaby futro. Relacja rzymski 90 suchy kształt.', 'Analiza pokryć pływać opisać rada. Na Afganistan model.']",344
1,86,Secured radical initiative,"['Bezpieczeństwo te gotowy nastrój. Naukowy rozwiązanie zimny policja powód związany dział wzór.', '9 jesień ciepło grudzień Ziemia odpowiadać. Pomysł wynik obecny chronić.', 'Położony stały zboże grupa należy umożliwiać. Użyć typowy rezultat przyjmować pogoda nic listopad. Rozumieć spać gleba ukraiński dopiero.']",303
2,58,Fundamental 24/7 secured line,"['Brać ciało opieka wschód spokój. Praktyka rzeczownik październik włosy działać maszyna.', 'Król robotnik fotografia norma metoda chemiczny bogaty ryzyko. Samochodowy diabeł dziwny przyrząd gospodarczy rosyjski grunt warunek.', 'Głupi księżyc liczyć obywatel. Pustynia kolorowy obszar. Dodać trwać wybór jeździć.']",799
3,64,Down-sized eco-centric hub,"['Oraz chociaż wszystkie.', 'Księga samica coś łódź. Fakt przebywać talerz herbata kłaść urodzenie.', 'Syn spadek udać się górny. Połowa mysz wisieć prezent dziewięć. Nazwa doprowadzić łuk zbiornik wciąż Japonia.']",322
4,32,Re-contextualized neutral attitude,"['Żywność zakład przyrząd. Operacja liczyć w. pomidor żart republika medycyna poznać. Sprawiać niż babka stopa ubranie.', 'Niedziela małżeństwo podstawa Chiny rosyjski wieczór. Nieprzyjemny jeszcze amharski badanie 1.', 'Gorący wygląd go uprawiać lipiec. Wczesny obchodzić pochodzić zdolny nasienie.']",590
5,30,Diverse leadingedge knowledgebase,"['Wykonywać religia siedem spaść niebo fragment szkło. Sądowy klimat lina muzyka bawić się. Zabawka pisać powietrze dziewiąty usługa teraz relacja.', 'Tarcza książka narodowość tkanina kłaść grzech wiosna. Tracić katolicki jednak ryż niebo.', 'Urząd wykonywanie święty działanie. Słownik lud próbować 60 nosić Szwecja 30.']",74
6,82,Front-line directional Local Area Network,"['Śniadanie wspomnienie zanim pozbawić potrafić dokument też.', 'Nadawać wielki smutek prosić pojęcie. Istnienie cmentarz władca przeciwnik miejscowość wpaść. Wysoko że kwiat dać się kino.', 'Ciepło dziwny słodki kolacja. Szary włosy jeść w kształcie tracić. Głos zachód drzewo maj siostra zamykać zapis.']",820
7,2,Inverse holistic solution,"['Przejść wtedy przyjęcie taki kraina jechać. Wieża krew brzydki.', 'Własny doskonały Stany Zjednoczone dziać się własny również piłka. Przyjaciel naukowiec mistrz potrafić wiele żywy leczenie. Pojawiać Się Morze Śródziemne łaciński przybyć wyglądać.', 'Ona zakład ósmy świątynia igła zgoda.']",280
8,87,Expanded 24/7 migration,"['Podnieść postępowanie nauka. Pytanie panować sam wiatr twój. Uśmiech zakładać prezent uderzyć energia powiat ryż urodzić.', 'Jako biedny wysłać czerwiec cierpieć. Z Powodu brać obowiązywać. Istnienie muzyk pacjent list metr wrażenie.', 'Przyczyna znać mysz Kraków ustawa wybory popularny. Skala konstrukcja wschodni.']",685
9,17,Open-source full-range complexity,"['Móc zjawisko panować praca wysłać węgiel. Imię dobro ludzie obywatel komputer.', 'Udział znać kawałek wolny one zabić ciemność. Nauczyciel zachowanie sprzedaż włos słyszeć.', 'Łóżko wzgórze zmienić pomysł święty głupota urodziny.']",450
10,9,Cross-group secondary matrices,"['Waluta 20 występować liczba atomowa zawierać minuskuła kostka. Urodzenie majątek zamiast zero grecki. Przeprowadzać religijny kupić administracyjny prezydent móc urodzić się.', 'Wrogi bogactwo mrówka moneta przeszłość Rzym. Kupić dokładny radość wy krzew cztery. Sukienka wyrób wrzesień półwysep interes.', 'Wypadek drogi mama. Kolejowy niedźwiedź powinien po bogaty bydło. Hotel hotel pójść tłuszcz pomieszczenie spaść dość słownik.']",357
11,51,Optional 5thgeneration monitoring,"['Np. filmowy szereg olej.', 'Studiować kiedyś stosować. Wyłącznie jak złożony dorosły dalej czarny. Badanie bycie wzdłuż region pozycja krok bajka piwo.', 'Czterdzieści gołąb wolność umieć. Instytucja grób można chęć. Przeszkoda w. mądry listopad szukać stacja pieniądz. Kultura katolicki zielony dno 60 błąd gaz zaraz.']",385
12,35,Devolved bandwidth-monitored data-warehouse,"['Zrozumieć przejście kierunek zapomnieć patrzeć. Nagły polityka pomiędzy składać włoski. Zdjęcie obowiązek żołnierz lub początek podatek wschód.', 'Chociaż Hiszpania włożyć wstyd delikatny.', 'Zwolennik wojenny drapieżny rolnik krzesło odwaga owad. Ciemność zawodowy uzyskać. Polegać punkt Rosja mgła głośny.']",628
