,StudieName,StudieDescription,StudieEntryFee,StudieCoordinatorID,PlaceLimit
0,Innovative composite contingency,"['Igła sklep zainteresowanie (…) wiedza praca lecieć. Idea uczeń pająk słoneczny.', 'Dziób obrona przyjąć. 900 wiadomość graniczyć obóz wysokość wydarzenie. Dolny mi krok użytkownik.', 'Walka historia stać rozmowa w ciągu Piotr. Południe drewno Jezus ciecz obecnie umieć. Aktor szwedzki ustawa pozbawić Jan podnosić gmina.']",1000,836,261
1,Focused composite challenge,"['Polityka pole matka zakładać. Miły Grecja przy.', 'Sądzić zapomnieć mama węgiel. Żaba kwiat Polak charakterystyczny stały. Powolny sytuacja miecz smutek walczyć.', 'Niedziela kwestia Wielka Brytania nowy muzyczny pozostać. Sprzedawać kobieta wywołać dużo zakładać. Specjalny linia Litwa umysł trzeba tu.']",2500,366,296
2,Adaptive intermediate throughput,"['Amerykański zgromadzenie chwila ale bez łaciński. Podnosić pojawić się śmiać się szklanka istnienie trzymać rodzinny św.. Nadawać kartka szybki japoński trzeba zwłaszcza. Szklanka radość poza warunek.', 'Stworzyć cierpieć przyjemność kolumna policzek symbol płynąć. Stać mózg południowy srebro. Cały należeć pokarm rozumieć grzech.', 'Okropny artystyczny bogaty. Klasa złapać próba język.']",2500,319,118
3,Secured web-enabled methodology,"['Wypowiedź przyjechać biec móc przyjęcie. Wzrok lotnisko informacja firma pióro Unia Europejska. Większość nawet szkodliwy fakt latać reakcja cisza. Zacząć finansowy w celu przeciwnik oddać minerał szczególnie.', 'Wystawa naturalny podział bogini śnieg piąty wynosić. Ogólny Holandia przykład metoda.', 'Prawie głos Unia Europejska dziedzina książę restauracja zupełnie. Dodatek wzrok kolacja.']",1000,31,216
4,Public-key fresh-thinking matrices,"['Pałac chronić uwaga sześć. Poważny osiągnąć nagły dziecięcy Unia Europejska.', 'Impreza gwiazdozbiór znaczenie wyglądać wykonywanie opłata. Traktować polegać pszczoła w.', 'Że pokarm sport Czechy kosz zniszczyć zasada. Podstawa luty trawa leżeć następny za pomocą skrzydło.']",2500,175,127
5,Future-proofed value-added Internet solution,"['Drużyna naj- cierpienie sam. Każdy łatwy specjalista niż obszar.', 'Ta lubić lis o wybrzeże. Byk wyłącznie czekolada sześćdziesiąt klimat. Postępować zrobić trzy sukienka przyjąć.', 'Los postawa promień ono nauka pierwszy zmarły. Źle chleb mieć na imię rosyjski gniazdo Hiszpania naturalny efekt.']",2500,852,212
6,De-engineered systemic algorithm,"['Drogi ogół dawać wybory mgła polityczny metalowy. Obiekt poważny mi forma. Głowa pojechać początek dziecko.', 'Przeszkoda dany stacja pragnąć głód. Język majuskuła dany ryzyko krok. Kara zamieszkiwać wpaść ogólny dół 60. Promień mieszkać język zasada pacjent późny usługa ten.', 'Rozmowa cień przyjemność znowu natura. Pasmo pokonać Rzym królewski klasa postawa toponim. Ostry tworzyć dzielić drewno.']",1500,824,61
7,Visionary fresh-thinking adapter,"['Dla liczba atomowa Anglia urząd piwo restauracja kościół.', 'Przyjaźń zakończyć palić państwo godzina stanowić łóżko obwód. Autobus 6 szczególnie. Teren wycieczka armia wada zaś.', 'Pojęcie zapach tajemnica dzielić przeciwnik papier napój. Odcinek pomoc ostatni słaby mąż szkoda metalowy. Ocena wykonywanie granica rosnąć pożar prosty Belgia.']",1000,542,149
8,Multi-tiered motivating core,"['Gwiazdozbiór kolacja lekki środkowy Czechy wybór bóg zdobyć. Być moment zostać egzamin mąka.', 'Piwo długość 30 kolejowy strach. Farba głos jeździć wysyłać wkrótce.', 'Handel kilka pierwiastek chemiczny założyć naj- wkrótce. Czynność zwolennik nadawać głupota piękny zachodni. On rozwiązanie znajdować się zboże święto. We godny powolny polegać możliwy społeczny wyrób.']",1000,474,73
9,Ameliorated human-resource solution,"['W Wyniku cel otwór bezpośrednio majuskuła własny stosunek zanim.', 'Odpowiedź oddział tablica kara. Prawo piąty siedzieć kościelny pacjent szef głównie Chiny. Z rodzina słuchać robić.', 'Spodnie 0 USA fabryka trzy chcieć w wyniku. Muzyk lekarz lampa właściciel litera.']",1000,525,225
